cod_anuncio;prioridade;cep_2dig;Estado;Cidade
191707;3;13;SP;Jundiai­
191713;1;3;SP;São Paulo
164404;3;12;SP;Bragança Paulista
164406;3;12;SP;Bragança Paulista
164408;3;12;SP;Bragança Paulista
164410;3;12;SP;Bragança Paulista
164413;3;12;SP;Bragança Paulista
164417;3;12;SP;Bragança Paulista
28416;3;69;AM;Manaus
164426;3;9;SP;São Bernardo do Campo
28436;3;8;SP;Mogi das Cruzes
164431;3;89;SC;Guaramirim
164433;3;71;DF;Brasi­lia
164437;3;81;PR;Curitiba
28446;3;3;SP;São Paulo
164440;3;69;AM;Manaus
28458;3;5;SP;São Paulo
164445;3;87;PR;Maringá
28466;3;9;SP;São Bernardo do Campo
164447;3;71;DF;Brasi­lia
164451;3;9;SP;Mauá
28470;1;3;SP;São Paulo
164453;3;71;DF;Brasi­lia
28479;3;80;PR;Curitiba
164455;3;71;DF;Brasi­lia
164464;3;18;SP;Lençois Paulista
164468;3;13;SP;Americana
164474;3;18;SP;Lençois Paulista
28506;1;74;GO;Aparecida de Goiânia
164481;3;69;AM;Manaus
28511;2;2;SP;São Paulo
164488;1;86;PR;Londrina
164500;3;9;SP;Santo Andre
164501;1;4;SP;São Paulo
164502;3;29;ES;Serra
164507;3;84;PR;Siqueira Campos
28531;3;51;PE;Recife
164517;3;58;PB;Patos
164528;3;80;PR;Curitiba
164544;3;61;CE;Maracanau
164548;3;71;DF;Brasi­lia
164562;3;2;SP;São Paulo
164565;3;42;BA;Lauro de Freitas
164568;3;15;SP;Jose Bonifácio
164570;3;2;SP;São Paulo
164582;1;50;PE;Recife
164583;1;50;PE;Recife
164585;3;50;PE;Recife
28588;3;89;SC;Chapeco
28590;3;8;SP;Mogi das Cruzes
