cod_cliente;flg_unico_dono;flg_licenciado;flg_ipva_pago;flg_todas_revisoes_concessionaria;flg_garantia_fabrica;flg_blindado;flg_aceita_troca;flg_adaptado_pcd
19295;0;1;10;0;0;0;0;0
25949;0;1;10;0;0;0;1;0
15024;0;0;0;0;0;0;0;0
26322;0;0;0;0;0;0;0;0
9817;0;0;0;0;0;0;0;0
20177;0;1;10;10;0;0;0;0
8520;1;1;10;0;0;0;0;0
18809;1;1;10;10;0;0;0;0
5003;0;1;10;0;0;0;0;0
2668;0;0;0;0;0;0;0;0
10731;0;1;10;0;0;0;0;0
14709;1;1;10;10;10;0;0;0
23033;0;1;10;0;0;0;1;0
26346;1;0;10;0;0;0;0;0
9694;0;0;0;0;0;0;0;0
10557;0;0;0;0;0;0;0;0
4045;0;1;10;0;0;0;0;0
4561;1;1;10;0;10;0;0;0
26378;0;1;10;0;0;0;0;0
10031;0;0;0;0;0;0;0;0
24039;1;1;10;10;0;0;0;0
24760;0;1;10;10;0;0;0;0
26402;0;0;0;10;0;0;1;0
24866;1;1;10;10;10;0;0;0
32;0;0;0;0;10;1;0;0
20138;0;1;10;0;0;0;0;0
25194;0;1;0;0;0;0;0;0
8466;0;1;10;0;0;0;0;0
2683;0;0;0;0;0;0;0;0
3888;1;0;10;0;0;0;0;0
18527;0;0;10;10;0;1;0;0
8566;0;0;0;0;0;0;0;0
38723;1;0;10;10;10;0;1;0
9301;0;0;0;0;0;0;0;0
20669;1;1;10;10;0;0;1;0
6432;0;0;0;0;0;0;0;0
22056;1;1;10;10;0;0;0;0
16018;1;1;10;10;10;0;1;0
8750;0;0;0;0;0;0;0;0
601;0;0;0;0;0;0;0;0
3412;0;0;0;0;0;0;0;0
22535;0;1;10;10;0;0;1;0
19740;0;1;10;10;0;0;1;0
17146;0;1;10;0;0;0;0;0
9243;1;0;0;0;0;0;0;0
5352;0;0;0;0;0;0;0;0
26458;1;0;10;10;0;0;1;0
7160;0;0;10;0;0;0;0;0
2933;0;0;0;0;0;0;0;0
4506;0;0;0;0;0;0;0;0
24419;0;1;10;0;0;0;0;0
7250;0;0;0;0;0;0;0;0
5837;0;0;0;0;0;0;0;0
4452;0;0;0;0;0;0;0;0
8308;0;0;0;0;0;0;0;0
8804;0;0;0;0;10;1;0;0
26470;0;1;10;0;0;0;0;0
19129;0;1;10;10;0;0;1;0
26237;0;1;10;10;0;1;0;0
16486;0;1;0;0;0;0;0;0
23735;0;1;10;10;0;0;0;0
7720;0;0;0;0;0;0;0;0
6319;0;0;10;0;0;0;0;0
6261;0;0;0;0;0;0;0;0
2768;1;1;10;10;0;0;0;0
16802;1;1;10;10;10;0;1;0
5660;1;1;10;10;0;0;0;0
26491;0;0;10;0;0;0;1;0
6258;0;1;10;0;0;0;0;0
26500;1;0;10;10;10;0;0;0
5938;0;1;10;0;0;0;0;0
10656;0;0;0;0;0;0;0;0
26507;1;0;10;10;0;0;0;0
26508;1;1;10;10;10;0;1;0
25694;0;1;10;10;0;0;1;0
